Age,Income,Credit_History_Years,Debt_to_Income_Ratio,Employment_Years,Education_Level,Marital_Status,Number_of_Dependents,Outstanding_Debt,Home_Ownership,Number_of_Credit_Cards,Monthly_Expenses,Employment_Status,Previous_Defaults,Credit_Limit,Loan_Amount,Loan_Term_Months,Credit_Score
26,91437,15.265225443915204,0.6439962326394858,29,4,1,2,9078,1,3,2096,2,0,19218,48187,67,734
56,58897,3.7256232947837056,0.9215626042943503,36,4,0,4,9363,0,1,9977,1,0,47147,9853,76,554
35,70906,28.14354991790107,0.4458323910062335,6,2,0,2,6462,1,4,1124,0,0,10642,19457,73,434
21,71616,28.98761121720269,0.4856327950218057,29,4,1,3,44737,1,7,8316,0,2,39589,39938,106,842
42,128719,29.214055598489963,0.23780026138902965,12,2,0,1,47221,1,6,3999,0,0,33528,23197,71,549
31,24482,1.1737441445915942,0.38301087562113223,21,1,1,2,27390,0,6,3360,1,1,27534,38020,14,301
67,127990,28.385925794400954,0.2860177028303057,10,1,0,2,48638,2,8,5912,2,1,16466,8462,28,749
26,110964,29.922447978522754,0.3505711496378131,4,2,1,4,33010,1,4,8803,3,2,17745,44892,67,458
43,92936,28.272873280364614,0.02059762475534721,21,3,1,3,33675,1,3,8813,3,2,7770,40071,56,826
19,59574,20.128167172881184,0.04106074467223775,14,2,1,0,16927,2,9,4845,1,2,15405,46777,67,367
37,143331,21.036904572255025,0.6806865339089029,38,3,0,4,49455,0,8,8410,3,2,9615,9877,48,578
45,63284,3.66758819620343,0.6817951889226287,36,2,1,4,29662,1,0,2053,1,0,35212,23352,86,323
64,92932,26.228912312248877,0.33023060033583496,30,1,0,3,26592,0,5,6430,1,2,49620,38281,88,601
24,27338,1.789187538863145,0.8854623967538369,28,4,1,0,7421,1,2,1010,0,0,20889,34719,46,843
61,62718,9.531916398529193,0.26611211619992337,38,2,1,4,23927,0,5,6656,1,1,18747,23444,73,327
25,32500,29.73454935444561,0.39578478197389366,16,3,0,2,42170,0,6,4954,2,2,35532,21616,54,677
64,31545,12.66983637308986,0.7313756242831561,5,4,1,2,47720,2,0,2112,0,0,30041,33946,80,352
52,81480,3.934686718957762,0.7435681177907002,16,3,0,2,6948,0,5,1647,1,0,5043,18661,71,544
31,25241,29.078839861472403,0.8611657627051837,33,3,1,2,16502,1,7,8129,1,0,25400,13451,66,537
34,109314,29.52418941125208,0.029059041905962424,22,3,0,0,37820,2,4,3917,0,0,40382,34298,29,670
53,42821,5.611280557161431,0.18375868114115845,29,3,0,3,42551,2,4,5083,1,1,32311,47676,62,441
67,24695,25.944114262205126,0.6405717706700609,12,2,1,3,46861,0,6,4157,3,0,9828,19363,93,547
57,97066,11.712699785816753,0.3381997692364037,29,4,1,0,203,0,7,6780,1,2,30437,42834,103,504
21,132616,11.441053934601435,0.04356167093086816,19,4,1,3,15705,1,6,7829,3,0,32709,35505,23,801
19,137276,7.8809289569070495,0.5864666739066885,5,4,1,2,2565,2,2,9329,1,1,9248,34232,37,341
23,34318,1.3413082366468954,0.3930731984648116,30,4,0,0,33325,2,5,1858,2,2,43973,24779,103,528
59,70934,8.040269510556705,0.364094858544017,18,1,0,2,14028,2,8,7416,3,1,7349,14999,104,374
21,42331,1.6133071599915605,0.26436428468582585,5,1,0,3,36470,0,1,8804,0,1,20584,14753,55,623
46,141282,27.731161390798903,0.005997893116962638,33,2,0,4,41314,1,8,8880,2,0,46453,10240,69,603
35,72672,19.851620171781853,0.18236001697062687,27,4,0,0,19538,1,2,6897,2,2,25931,30502,112,815
43,111891,26.598679500491745,0.4742352978186051,12,1,1,1,14308,2,2,9906,1,0,6441,48638,42,485
61,96860,21.51872044411712,0.2757364530878068,9,4,1,1,17558,0,9,5814,2,2,12365,11838,45,568
51,113685,3.938606132479178,0.8743886792634551,6,2,0,2,26175,1,1,8105,1,2,14400,44302,117,438
27,88754,28.217446102058936,0.1429996621563664,17,3,1,3,41567,1,2,2226,3,1,19604,34327,118,626
53,105677,26.996791608983013,0.8753402870362015,21,2,0,2,5291,0,6,4685,0,1,48535,37621,79,762
31,122320,10.44228233703107,0.40482580849570726,13,1,0,1,8202,1,2,4524,2,1,14138,13367,81,722
48,22837,3.346000210550295,0.27584031306871415,35,1,1,0,35403,2,0,6421,2,2,15047,9851,103,803
65,145261,21.124642523666214,0.30429185851483953,7,1,0,2,20023,0,3,9431,0,2,9925,8440,60,662
32,140688,21.850839082101675,0.3300707928289921,11,2,1,3,21170,2,6,2581,1,2,16018,10594,97,702
25,134616,26.904871345221213,0.5065639846823781,39,2,1,1,20542,2,5,8025,1,0,5965,12934,65,440
31,125338,1.5796727835323976,0.35388231126380454,32,2,0,0,31974,0,9,6249,2,2,11605,28717,92,303
40,60077,4.251115140821156,0.6472063470381876,23,4,0,2,29170,1,2,6467,0,1,5671,27639,47,621
57,99915,17.94746378637547,0.4251790070829311,38,1,0,0,3031,2,0,8800,0,1,38467,38036,119,402
38,24239,18.573946526102475,0.6716437096827069,13,2,1,4,11158,1,7,7652,3,1,49828,39645,106,804
33,130432,1.0082898694501885,0.604426418351602,4,2,0,1,13824,1,1,6687,2,2,16749,30124,42,474
62,106348,11.907961531849752,0.24445397242926137,18,4,0,2,13871,1,4,4120,1,1,49696,20551,51,569
35,49669,17.524851938281472,0.8127732878500883,2,1,1,0,14491,1,2,2532,3,0,29693,38686,108,356
64,68624,22.137339994552015,0.7989814677729234,0,3,1,2,20716,1,3,3397,3,1,7443,23514,65,559
41,95147,9.484520753349857,0.9889804670163754,39,3,1,3,33908,0,2,8834,2,2,47646,30844,105,735
43,24150,14.517104790655242,0.1750501344334564,36,1,1,3,20290,1,2,4851,2,1,24627,9747,68,515
42,144210,24.421646169360276,0.8478382192736854,32,4,1,2,18817,1,2,8171,3,0,26338,15890,59,739
62,31109,28.616851916932216,0.8719809225426152,16,1,1,1,1640,2,9,5787,0,2,44860,12469,119,423
58,119750,6.909440261695366,0.6421641666023702,8,3,0,2,32937,0,7,5920,2,1,23135,23631,31,517
46,46016,7.591266174596887,0.5063847777826904,30,2,1,2,1808,1,0,4830,1,0,22692,30866,35,734
32,31936,28.194545623016264,0.9572595561690334,34,1,1,2,41380,1,1,2329,2,2,23115,15761,117,621
62,31036,11.877334522880506,0.9726919278763293,2,3,0,2,10155,2,1,5375,1,2,41594,25764,48,637
18,59236,21.55044973562228,0.6416974563422011,12,2,1,1,33814,0,8,9099,1,1,49886,14038,101,323
42,34021,18.367956861896285,0.35955985792416245,36,1,0,4,10535,0,6,7928,3,1,35051,9220,66,397
24,140478,8.56763039382169,0.8171651834659439,37,4,0,4,11947,2,9,7709,0,1,45686,12777,35,424
26,56943,19.60686665874075,0.08925546721492295,13,3,0,0,30283,0,6,1054,3,1,9544,46894,105,309
41,133694,19.666977028709198,0.29059564402978644,5,2,0,1,26844,0,7,1363,2,1,18526,26036,102,735
18,123384,17.77329556227229,0.9855542947728502,28,2,1,1,35049,1,1,4005,1,0,42627,43317,81,384
61,101007,2.989824745485387,0.8143333872069695,8,4,1,1,8665,2,9,1954,0,1,25343,9920,61,710
25,133197,29.85515467122113,0.9395824715691238,35,3,1,3,20960,2,0,1901,2,2,36496,32532,86,389
41,70016,12.012493835124822,0.594794571385757,22,2,1,1,30483,0,5,4487,0,2,8083,5166,117,523
28,43244,19.147529561909668,0.4076724581481159,14,4,1,3,11950,1,2,8809,1,2,39080,45977,90,741
68,83027,26.57285082337858,0.9796901033910379,6,3,0,4,49149,0,1,1634,3,2,30262,37542,24,643
34,134313,12.69865465259509,0.30942558585715474,24,4,1,4,37641,1,2,9847,3,1,5514,11911,71,837
25,143351,23.217751704166457,0.7574142789089233,36,4,1,3,10432,0,3,2388,0,1,29260,40676,57,752
52,58985,29.15473274038218,0.5582069579002082,22,4,1,2,4414,0,4,7838,2,0,24030,29988,57,495
52,123976,10.768042807591447,0.22850714551446538,10,4,1,4,17021,2,9,9571,0,0,48182,33169,49,840
50,21502,12.158087106982101,0.017483287408542658,7,3,0,2,45141,0,9,1090,0,0,8190,15083,109,499
22,73836,27.16728176989706,0.38376409050408344,35,4,0,0,39473,0,3,5163,3,0,17728,22045,69,655
59,119714,4.78928603445549,0.5476853928773087,38,4,0,3,38464,2,7,2179,2,0,16832,5893,92,683
56,23770,0.8578451507832696,0.18319040095346661,0,2,0,0,32007,1,5,8759,0,2,23485,12681,32,824
58,62865,27.266670145473356,0.4145548858612267,12,3,0,3,26872,0,6,5361,2,1,7253,44959,12,406
45,73811,24.64774722352741,0.6151899306589599,15,3,0,0,12310,0,3,4324,2,2,37358,34457,91,803
24,24001,29.17749097653996,0.7149231264211244,12,4,0,0,39675,2,6,5796,1,0,41271,31804,34,411
26,80848,1.7471334813203476,0.05274252990653738,36,4,1,1,11510,1,4,8906,1,1,13724,43974,50,549
25,72635,4.685319913229618,0.6641808218023608,13,1,1,4,47061,0,1,4779,1,0,24917,49899,60,722
29,40946,3.159376772694266,0.05666730887771987,12,4,1,3,13549,0,8,3874,0,0,36522,12133,14,836
51,86134,20.502483968811276,0.028185495359343782,11,3,0,4,701,2,1,4235,3,1,19502,20844,23,766
50,115852,18.180302212414297,0.15241202591050573,27,2,1,1,19455,1,1,7882,1,1,13641,19209,40,516
65,111103,10.78005598161779,0.6536440572115654,21,3,1,4,8918,0,2,9998,0,2,40094,28971,84,568
40,112044,1.7227043820673504,0.05282144288445667,19,2,0,3,2624,2,3,2060,2,2,41195,8045,102,839
41,63744,19.18985952139623,0.02089621220557414,18,4,1,1,8141,2,6,7100,1,1,31892,30870,31,715
54,137729,17.1036145534517,0.11795951134755389,10,1,1,2,46771,2,4,6888,2,0,35819,46267,75,344
52,142848,3.387096331818472,0.949720990710571,29,2,0,1,2672,1,6,4874,1,1,28115,18428,107,486
61,59159,27.267291134211423,0.9072777499272165,25,3,0,3,19493,2,0,6359,1,2,49037,49448,53,473
57,115812,5.968491290159717,0.08646597509965404,14,4,0,0,17273,0,3,6216,3,1,12253,10570,47,776
39,43671,22.305274564315692,0.30401318351656303,29,2,1,4,12199,0,1,6553,3,0,26563,38386,43,831
44,36450,26.552275876288448,0.9472924390472667,28,1,0,0,47473,1,5,3654,3,0,26045,22063,57,391
52,34908,17.384249720811255,0.0976876734565012,31,1,1,2,20255,0,1,8224,1,2,11692,10242,62,550
18,77275,7.405467158947539,0.09459598198103425,29,1,1,0,9921,1,3,9837,0,1,19231,35436,119,401
52,64358,9.277455528754242,0.08600389773472894,15,4,1,4,27916,0,4,2218,0,2,43981,14230,44,609
54,69047,26.572426011564968,0.9764762390986759,35,2,1,0,2170,2,7,6524,0,1,17227,19966,90,787
64,55518,8.94771469129454,0.7431085132824325,17,2,1,1,23578,0,4,4470,3,2,35387,12256,69,483
31,77813,22.38571449951913,0.21448436735929843,38,4,1,3,18093,2,1,6881,2,0,38313,9262,19,510
20,116748,29.70495636766216,0.04594726129650295,27,2,0,0,40962,1,9,2641,1,0,13276,19759,79,486
18,128220,29.994501580880335,0.9652415089115334,18,4,1,3,13140,2,7,8758,2,1,28836,46502,68,394
22,26806,16.004392448079944,0.42548904175969116,10,1,1,3,4032,2,7,8345,3,1,41513,23320,57,629
43,124733,24.796673903582935,0.5983753882949746,16,2,1,3,20624,0,9,3756,2,2,39009,18401,115,322
31,60891,29.707496037635984,0.2791962334981254,20,1,0,1,40345,1,0,5648,2,2,9136,39679,66,493
56,146865,11.240186695259467,0.7583603222909326,36,4,1,3,1308,0,8,1277,2,2,43853,42797,43,724
44,103551,7.5722875521091755,0.19680234589401646,33,1,0,0,43079,1,7,7392,0,2,32674,6246,30,421
26,149335,3.4270006752654956,0.7869119333755145,32,3,0,3,10149,2,0,1602,0,2,25197,32948,101,426
32,59220,4.2269891421937835,0.23060304333503467,28,4,0,1,5162,1,8,7604,0,0,14420,23446,19,713
32,37158,25.6066909086199,0.09791222568414348,3,3,1,3,9415,1,8,8925,3,0,6084,45262,48,668
43,100992,17.661692709212222,0.4788225545308036,31,4,1,0,27399,1,7,1957,0,0,40415,37531,69,589
59,47588,26.211275261774574,0.8132168068956508,10,1,0,1,29080,0,9,2402,3,2,16281,42193,48,353
30,82576,23.683652670965053,0.38486469646216925,25,1,0,2,15593,2,6,4674,1,2,27603,32373,95,787
68,108027,20.212338901440532,0.02887365066928005,17,1,0,2,45417,2,5,3135,3,0,42952,30551,41,477
49,44188,18.27936575720582,0.5533097122982638,31,3,0,0,30197,0,4,7464,0,0,7661,13116,23,830
56,112615,1.4501671253427884,0.6804713889235275,26,1,1,4,5243,1,5,9986,0,2,28629,31732,109,841
66,78830,26.168255880095767,0.7406949453360068,15,3,0,3,26934,2,0,3695,1,2,35201,13879,105,388
69,24019,12.535261850391429,0.401924954309284,9,3,1,4,26796,2,0,2872,0,0,40812,16038,69,377
49,32419,16.79360571214176,0.09701963149240056,33,2,0,1,10714,2,8,7120,2,0,29483,35446,99,430
21,53697,0.6586050563106216,0.5843264344633864,32,2,0,3,13525,1,5,3075,0,2,46194,26482,33,830
47,104932,28.082205055883612,0.3295478852381818,9,2,1,4,6978,0,2,9666,2,1,42690,15050,89,425
54,139712,27.082213832760043,0.946887482274853,25,4,0,0,6968,0,8,4552,0,2,5165,10802,34,708
40,124568,16.298340897543167,0.5027121080613277,24,3,0,1,32304,2,2,9190,2,1,34515,33588,77,611
56,115428,17.319348995050724,0.47226604679897866,1,1,1,3,46324,1,8,5503,0,2,7186,29448,47,841
62,27973,21.15051637210466,0.3092095323183568,25,2,1,2,42085,2,4,3687,1,1,10138,24865,63,752
32,128001,7.940846893084502,0.33878650538354793,19,4,1,3,30192,0,0,9337,2,0,22058,18054,70,591
60,106649,6.657468681399077,0.512754784079912,2,3,0,1,37399,1,4,2148,3,1,5005,5540,89,601
46,142649,20.22068839804898,0.3066647953149948,31,4,1,2,31293,0,9,8977,0,0,23005,43061,71,630
53,31136,3.132673384767245,0.8923048843684122,0,1,1,0,26400,2,1,5814,3,0,16126,8295,119,569
30,104739,13.621860141701422,0.4390179324291087,23,2,1,3,6754,0,1,6721,2,1,25601,16633,115,756
49,82502,14.782812719972702,0.2920220840130243,32,3,0,4,21287,1,0,9652,2,0,42590,36102,75,426
24,51285,11.440109307455039,0.15539483354114936,37,4,1,4,20636,1,9,7409,0,2,8867,32673,43,362
68,43039,5.55804527093204,0.6723507263003581,34,2,0,0,7175,1,3,1228,0,0,12378,47581,93,628
39,86720,10.65948792976064,0.025786943285584063,16,2,1,1,39370,0,3,2387,1,1,45880,8927,118,553
45,143168,10.126717606813498,0.4499957871699404,32,3,0,0,1295,1,4,5513,0,0,14004,7668,100,798
19,108263,14.977970239462511,0.5501218203672239,10,2,0,1,18298,0,3,7641,0,2,19213,13601,100,603
59,79155,20.24042524735558,0.33978461088033163,22,4,1,2,4512,1,1,2452,0,1,29276,6990,60,802
62,36911,29.047053705785117,0.7498177472750057,37,3,0,1,6463,0,4,2630,2,0,12704,5172,77,771
23,20916,4.324897805229847,0.6756604968379388,31,3,1,2,17662,0,7,4081,0,2,27055,19887,15,323
45,79052,26.190513298232457,0.9713989875699617,18,2,0,3,17564,0,5,7348,3,0,44891,39902,19,690
45,89110,8.525340011707872,0.5087667992896819,11,1,0,3,38192,1,4,1210,1,0,34885,32969,76,713
61,121623,17.741183100042168,0.537812364629383,27,1,0,0,44140,0,6,5464,1,1,25658,5629,20,411
61,37790,16.40210843951604,0.24583931919382218,1,1,0,0,30807,1,0,8234,0,1,33139,33170,38,381
37,103161,16.70845255884789,0.38548389073072054,9,4,0,3,43713,2,5,8171,2,0,22238,29262,39,458
47,25206,21.700758351564385,0.02686059115830397,18,3,0,4,18436,1,1,8836,3,0,27274,34365,12,721
28,141937,11.450649172469877,0.6892747885976895,27,2,1,2,42420,2,4,3069,1,0,30291,8006,53,506
45,105053,9.57299889710567,0.31162279968354,7,1,1,3,34347,1,9,4921,0,2,33835,15880,17,725
42,69950,25.58503719556432,0.5403670096666979,22,2,1,4,29934,2,3,8617,2,1,30473,42402,46,326
56,136211,6.602851208228109,0.25499239641094906,29,1,0,1,29662,0,6,9363,1,0,37148,36804,26,483
50,76361,5.407381119334293,0.6210362003396587,27,1,0,3,14301,2,8,5491,2,1,49636,41986,21,409
18,81451,0.46822309965782627,0.4475824929540444,12,2,1,4,18943,2,8,6624,1,0,5589,47946,57,748
44,57696,6.317333460875602,0.48186065238629416,36,4,0,3,37445,0,9,4432,0,2,6478,8940,99,585
69,101641,15.555942999501251,0.9426071398153262,11,2,1,1,47940,2,0,2663,3,2,27360,28386,76,328
30,121192,16.155266190423408,0.7061603231238601,9,2,1,1,6554,1,6,5953,0,0,6521,6165,102,823
58,88226,7.63261473586603,0.26189973560007396,16,4,1,2,36450,1,6,8688,0,2,32492,15865,31,439
20,122395,2.168225101235995,0.5039218177414254,0,4,0,1,8757,2,4,2378,3,0,37228,40364,114,750
56,141970,22.339223890356187,0.4666728190519783,21,2,1,1,22909,2,7,9552,2,0,25102,20784,41,390
23,144121,22.739260456868994,0.7950526068783638,14,4,0,2,23318,1,9,9797,1,1,16670,13853,53,492
25,66728,29.935091888746847,0.8333551140962026,15,1,1,3,44217,1,3,4816,1,1,20044,28453,21,532
44,75401,27.00088711604153,0.2834428227417254,19,4,0,3,28304,2,0,8330,3,1,22556,11271,63,356
26,86226,27.781861935529275,0.8211514539062363,9,2,0,2,13940,0,3,7969,3,0,35521,33985,34,808
54,45103,23.946114772318257,0.17950140529100145,25,4,1,3,42582,0,1,7272,0,1,31350,9875,99,582
50,54263,18.465085601474975,0.7627705545376954,22,3,0,3,34093,1,2,3568,3,0,36615,12905,31,468
68,146705,3.8563787281353146,0.24878454380136072,16,4,0,4,39526,0,3,7521,3,1,24723,43841,45,693
59,96621,18.669398923676333,0.2979311574132959,33,1,1,2,17884,2,6,5400,1,0,23775,31979,93,770
61,70044,1.678675812438799,0.8524678401889939,21,3,1,2,39226,1,8,6443,0,0,26670,19331,49,308
41,77730,26.558973338135768,0.420074865056297,3,1,1,0,11878,0,3,1429,0,0,9778,10359,12,323
32,45825,14.454640062425923,0.9905658248562961,6,1,0,4,11325,0,1,4671,0,2,23304,12953,30,741
49,96256,20.924184959274008,0.15194302990744113,4,3,1,3,48074,0,9,8588,3,2,38243,19268,111,808
49,124177,1.5673099108789201,0.4633490380396834,30,1,0,0,12940,1,9,1363,2,0,23945,24132,112,347
41,57271,16.02745268768476,0.7324503309089362,18,3,1,4,32011,2,3,3380,2,0,35741,42400,75,803
58,97256,9.037901935600877,0.00536705797850745,3,1,1,3,1537,2,7,2682,2,1,31032,30540,53,521
69,66732,8.54904797211737,0.15185527819301736,21,2,1,4,38953,1,1,5080,1,1,15408,22316,56,468
66,86433,11.689677441095474,0.020356749410980313,2,1,1,1,45424,0,7,1080,0,2,21812,21459,56,655
66,102630,0.01918382581604705,0.9928778653827537,22,3,0,3,28237,2,4,5883,2,0,35196,42141,28,409
69,121999,13.999826451605205,0.7606246624214705,3,2,0,4,212,0,1,2446,2,2,15662,13394,76,716
29,120990,14.59700050823815,0.37355909774660023,23,2,0,4,10348,2,7,5551,1,0,32570,19601,71,303
56,43572,25.89392747517192,0.15628493469677573,13,4,1,0,16560,2,1,2684,2,2,46692,32772,113,609
19,58546,13.455768236474473,0.09038324280345067,2,4,0,4,18468,2,3,2077,2,0,39455,11993,64,414
20,142456,10.906688816030186,0.5319072005509119,20,4,0,1,46883,0,1,8049,2,1,46110,39040,44,485
66,35150,29.8424115408739,0.9758913181991988,25,2,0,1,32746,0,5,3992,2,1,5163,10875,108,451
54,74165,17.13639973807489,0.674610944657764,0,4,0,4,5808,0,2,9704,0,0,42255,13811,41,356
66,83690,14.178396259024185,0.3651383682587295,29,2,0,3,29241,0,6,3079,0,0,48442,41662,114,547
34,73664,14.878075036451383,0.5008509732374883,3,4,1,0,7426,0,5,3007,3,2,35586,30594,25,824
66,102335,24.27543892526415,0.9989033679394519,13,1,0,3,9153,1,0,2307,0,2,14728,33810,51,559
19,95199,10.220291069104825,0.5187662288844505,17,4,0,4,37024,2,8,2447,2,0,13497,46999,94,597
19,148511,11.674813880578368,0.9642014857763558,11,3,1,1,20478,2,6,4226,0,1,23096,15392,65,488
45,56948,22.67620078012396,0.016361718817826,37,4,0,2,19345,1,0,3748,1,0,22554,19646,82,323
40,57030,2.189512188413084,0.7209631282341725,35,2,1,0,10159,2,3,6592,0,0,37133,44874,32,651
54,47007,25.95507474429776,0.6271614492131166,15,3,0,3,12362,1,3,1445,3,1,30522,19529,93,332
49,120819,12.906080894039098,0.6853298584573216,0,3,0,1,47140,1,5,8933,3,1,45021,30498,61,377
50,111207,17.43878926516945,0.5705670892574528,2,2,0,3,46769,1,2,2014,2,2,49900,20533,64,785
18,110921,22.724284777795056,0.044176776241655835,38,3,1,4,39459,2,1,7377,0,2,46143,12306,87,344
36,96772,7.981557673180345,0.1495639354918259,34,3,0,3,48922,1,2,8299,0,1,41025,37453,87,501
19,42024,26.709426249619533,0.9222512703352146,14,3,1,0,20373,2,3,3982,1,0,34965,11082,19,692
61,132408,29.37674916769832,0.2329250083671166,37,4,1,2,40222,0,7,8706,3,1,11123,38963,53,719
43,59384,14.828230842183737,0.9929372693269417,15,3,0,2,43445,0,7,3206,1,1,35292,14669,27,505
49,102912,28.1081209509802,0.6795884843946169,16,1,0,4,5951,1,0,9754,3,0,48905,13526,59,784
23,144161,0.03385867580948276,0.44435449012618455,33,1,0,0,12997,1,8,7250,2,0,30426,31356,38,521
49,122674,26.82713488906585,0.9200488564360401,9,4,1,2,48885,0,3,5009,0,1,29797,39576,67,395
21,38157,9.331359592539167,0.7949861896174555,10,4,0,1,17780,0,3,3750,1,0,23566,28005,114,572
28,105481,9.344862741828058,0.42896507958490204,27,1,1,3,1844,0,3,6207,3,2,19232,23471,55,560
34,122120,6.842665943098182,0.06859297226735606,26,3,1,4,7093,1,6,7608,3,1,43082,38354,30,709
55,108553,9.510417034527057,0.8683045745345008,37,1,0,1,39136,0,1,2382,0,2,26063,23740,90,702
41,21756,6.404537510959053,0.7650399313583411,17,2,1,4,22470,1,6,4462,3,0,46019,35023,44,599
22,120677,27.176073189299153,0.7907348372907147,29,3,1,0,29365,1,9,9885,3,2,25146,23128,43,829
69,88112,26.970711816400993,0.7448587327255555,12,1,0,4,30272,1,1,8930,1,2,39827,38856,38,736
51,111003,3.0663394476186756,0.2757544893780829,15,1,0,2,42981,2,2,7112,0,2,42091,22318,90,656
23,122488,4.285752865994774,0.8588457196693375,1,3,1,0,18601,1,4,3409,1,1,46167,10405,36,556
39,116741,25.860559170319995,0.002232553144108751,19,3,0,4,32491,0,0,2436,1,1,16011,41118,70,715
